名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
１２３＋Ｎ和歌山本店,宮前,,,,和歌山市,避難場所,津波,津波浸水予測地域,,☆☆,耐震　,,,,,2.5,135.1854180 ,34.1971848 ,,,,,,,,和歌山市小雑賀762-1,津波避難協力ビル
あけぼの団地,三田,,,,和歌山市,避難場所,津波,津波浸水予測地域,,☆☆,耐震　,,,,,2,135.1956801 ,34.2032083 ,,,,,,,,和歌山市田尻178-5,津波避難協力ビル
秋葉山公園県民水泳場,雑賀　高松　和歌浦,,,,和歌山市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　津波,,☆☆,☆☆☆,耐震　,,,,,15,135.1716752 ,34.1981887 ,,,,,,8402,8402,和歌山市秋葉町4-11,屋内避難場所
セラヴィ神前,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2029200 ,34.2155737 ,,,,,,,,和歌山市神前182,福祉避難所（兼津波避難協力ビル）
あいあいセンター,,,,,和歌山市,福祉避難所,,,,,耐震　,,,,,5.8,135.1677526 ,34.2306651 ,,,,,,,,和歌山市小人町29,福祉避難所（兼屋内避難場所）
ふれ愛センター,,,,,和歌山市,福祉避難所,,,,,耐震　,,,,,2.3,135.1902890 ,34.2270017 ,,,,,,,,和歌山市木広町５丁目1-9,福祉避難所（兼屋内避難場所）
春風会きし,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1618540 ,34.2606959 ,,,,,,,,和歌山市栄谷460-1,福祉避難所
大日倶楽部オラ,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2450810 ,34.2077452 ,,,,,,,,和歌山市平尾634,福祉避難所
第Ⅲ竹の里園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2542470 ,34.2133078 ,,,,,,,,和歌山市明王寺3-1,福祉避難所
和歌山ビッグ愛（建物部分）,宮前,,,５階以上の廊下部（10・11階除く）,和歌山市,避難場所,津波,津波浸水予測地域,,☆☆,耐震　,,,,,1.6,135.1901560 ,34.2185591 ,,,,,,,,和歌山市手平２丁目1-12,津波避難協力ビル
中言神社（岡崎）,岡崎,,,,和歌山市,避難場所,津波,,,☆☆☆,,,,,,27,135.2101780 ,34.2116470 ,,,,,,,,和歌山市神前,津波避難目標地点
法紹寺,岡崎,,,,和歌山市,避難場所,津波,,,☆☆☆,,,,,,27,135.2099800 ,34.2141601 ,,,,,,,,和歌山市神前789,津波避難目標地点
＊沿岸部からの退避,海岸堤防等より海側,,,＊沿岸部からの退避,和歌山市,広域避難場所,,,,,,,,,,,135.1712640 ,34.2276311 ,,,,,,,,和歌山市吹上１丁目4-19,沿岸部から安全に退避できる場所（和歌山公園等）に避難してください
スーパーセンターオークワセントラルシティ和歌山店,宮前,,,屋上駐車場,和歌山市,避難場所,津波,津波浸水予測地域,,☆☆,耐震　,,,,,3.8,135.1833180 ,34.1953570 ,,,,,,,,和歌山市小雑賀805-1,津波避難協力ビル
沖見の里（旧雑賀崎小学校跡地）,雑賀崎,,,敷地内,和歌山市,避難場所,津波,,,☆☆☆,,,,,,53,135.1452670 ,34.1903908 ,,,,,,,,和歌山市雑賀崎1612,津波避難場所
つつじが丘テニスコート,西脇,,,,和歌山市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,70,135.1023750 ,34.2689473 ,,,,,,1552,3745,和歌山市つつじが丘４丁目4,屋内避難場所
雄湊小学校,雄湊　砂山,,,,和歌山市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,乾パン・飲料水・毛布・アルミ寝袋・トイレ処理セット・ブルーシート・緊急対応型ラジオ,13.8,135.1662064 ,34.2280361 ,,,,,,1655,3338,和歌山市東坂ノ上丁3,屋内避難場所
有功ヶ丘学園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1882760 ,34.2693902 ,,,,,,,,和歌山市園部381-2,福祉避難所
麦の芽ホーム,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2326370 ,34.2441492 ,,,,,,,,和歌山市岩橋643,福祉避難所
特別養護老人ホームすこやか,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2120900 ,34.2044332 ,,,,,,,,和歌山市和田583-1,福祉避難所
特別養護老人ホーム　西庄園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1129010 ,34.2642056 ,,,,,,,,和歌山市西庄1133-2,福祉避難所
特別養護老人ホーム　山口葵園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2631230 ,34.2644039 ,,,,,,,,和歌山市藤田25-1,福祉避難所
特別養護老人ホーム　紀伊松風苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1887980 ,34.2717651 ,,,,,,,,和歌山市園部1668-1,福祉避難所
特別養護老人ホーム　紀伊てまり苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2329620 ,34.2574703 ,,,,,,,,和歌山市西田井224,福祉避難所
特別養護老人ホーム　喜成会,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2496090 ,34.2649719 ,,,,,,,,和歌山市北野128,福祉避難所
特別養護老人ホーム　芦辺荘,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1843360 ,34.2238196 ,,,,,,,,和歌山市南片原２丁目12,福祉避難所
特別養護老人ホーム　わかうら園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1502230 ,34.1856562 ,,,,,,,,和歌山市田野175,福祉避難所
特別養護老人ホーム　みどりが丘ホーム,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2378090 ,34.2346750 ,,,,,,,,和歌山市和佐中213-1,福祉避難所
特別養護老人ホーム　ほうらい苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1567660 ,34.1856923 ,,,,,,,,和歌山市新和歌浦2-9,福祉避難所
特別養護老人ホーム　ソンリッサきみさと,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1014840 ,34.2659720 ,,,,,,,,和歌山市つつじが丘５丁目3-2,福祉避難所
特別養護老人ホーム　君里苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1300220 ,34.2653584 ,,,,,,,,和歌山市木ノ本1837-1,福祉避難所
特別養護老人ホーム　紀三井寺苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1846840 ,34.1812885 ,,,,,,,,和歌山市紀三井寺560-2,福祉避難所
特別養護老人ホーム　あんず苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2819530 ,34.2371227 ,,,,,,,,和歌山市東田中307,福祉避難所
特別養護老人ホーム　アンシアナトー,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1345550 ,34.2438359 ,,,,,,,,和歌山市松江　東１丁目7-25,福祉避難所
竹の里園　デイサービスセンター,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2541390 ,34.2136497 ,,,,,,,,和歌山市明王寺3-1,福祉避難所
地域密着型介護老人福祉施設　三寿苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1473440 ,34.2431916 ,,,,,,,,和歌山市島橋南ノ丁6-21,福祉避難所
地域密着型介護老人福祉施設　わかやま苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1770010 ,34.2311052 ,,,,,,,,和歌山市屋形町１丁目39-2,福祉避難所
地域密着型介護老人福祉施設　みのり西庄園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.0989840 ,34.2658554 ,,,,,,,,和歌山市つつじが丘７丁目3-3,福祉避難所
地域活動支援センター　櫻,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1757980 ,34.1979335 ,,,,,,,,和歌山市塩屋３丁目6-2,福祉避難所
第Ⅱ竹の里園　デイサービスセンター,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2558040 ,34.2138261 ,,,,,,,,和歌山市明王寺17-1,福祉避難所
多機能型事業所　めばえ,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1754810 ,34.1978466 ,,,,,,,,和歌山市塩屋３丁目6-2,福祉避難所
綜成苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1174420 ,34.2709826 ,,,,,,,,和歌山市西庄1107-1,福祉避難所
綜愛苑,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1177670 ,34.2702771 ,,,,,,,,和歌山市西庄1107-45,福祉避難所
身体障害者更生施設　琴の浦リハビリテーションセンター,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1851340 ,34.1579692 ,,,,,,,,和歌山市毛見1451,福祉避難所
小倉園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2859050 ,34.2445500 ,,,,,,,,和歌山市新庄388-1,福祉避難所
山口葵園　デイ・サービスセンター,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2631970 ,34.2643771 ,,,,,,,,和歌山市藤田25-1,福祉避難所
救護施設　かつらぎ園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1893480 ,34.2711068 ,,,,,,,,和歌山市園部366-1,福祉避難所
愛徳医療福祉センター,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1633520 ,34.2115038 ,,,,,,,,和歌山市今福３丁目5-41,福祉避難所
養護老人ホーム　喜和の郷,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2456860 ,34.2720195 ,,,,,,,,和歌山市北野572-1,福祉避難所
みどり第２ケアステーション,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1607540 ,34.2200993 ,,,,,,,,和歌山市土佐町３丁目25-2,福祉避難所
みずほ園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2212970 ,34.1999616 ,,,,,,,,和歌山市朝日83-1,福祉避難所
特別養護老人ホーム　大日山荘,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.2450900 ,34.2076891 ,,,,,,,,和歌山市平尾634,福祉避難所
特別養護老人ホーム　第二親和園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1897190 ,34.2021251 ,,,,,,,,和歌山市杭ノ瀬462-2,福祉避難所
特別養護老人ホーム　親和園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1893970 ,34.2110796 ,,,,,,,,和歌山市杭ノ瀬255-2,福祉避難所
アトリオつつじⅠⅡⅢ　デイサービスセンター,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1013070 ,34.2666025 ,,,,,,,,和歌山市つつじが丘５丁目3-3,福祉避難所
地域密着型介護老人福祉施設　第五親和園,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1920860 ,34.2058858 ,,,,,,,,和歌山市杭ノ瀬432-3,福祉避難所
生活支援ハウス　カリエンテ,,,,,和歌山市,福祉避難所,,,,,,,,,,,135.1345550 ,34.2438359 ,,,,,,,,和歌山市松江　東１丁目7-25,福祉避難所
